hotel,price,score,avg review,reviews count
The Luxury Hotel Delhi Airport Stay,"₹ 1,003",Scored 10,,
"The Imperial, New Delhi","₹ 19,003",Scored 9.4,,
Treebo Rockwell Plaza,"₹ 1,987",Scored 8.2,,
Grand Rosewood Near Delhi International Airport,"₹ 1,011",,,
The Prime Delhi,"₹ 3,300",Scored 8.0,,
CASA CENTRAL,"₹ 1,296",Scored 8.9,,
El DE Empire Suite Near Delhi Airport,₹ 539,Scored 8.7,,
Hotel Grand Haven wood suites Delhi Airport,₹ 611,Scored 10,,
Hotel Namaste Hindustan Just a Minute Away From New Delhi Railway Station and Connaught place,"₹ 2,940",Scored 8.8,,
Grand Empire Hotel Near IGI Airport,₹ 449,Scored 8.4,,
Hotel LOFT A Family Hotel Near IGI Airport Delhi,₹ 680,Scored 9.7,,
Hotel Star tark,₹ 980,Scored 9.9,,
"ITC Maurya, a Luxury Collection Hotel, New Delhi","₹ 11,900",Scored 8.3,,
Hotel Glory Suites Near delhi internationl airport,"₹ 1,424",Scored 9.8,,
Hotel Palace Heights,"₹ 5,400",Scored 8.1,,
The Shanti Plaza - New Delhi,"₹ 1,760",Scored 9.0,,
Hyatt Regency Delhi,"₹ 9,000",Scored 8.3,,
Hotel Horizon By Shanti,"₹ 2,090",Scored 10,,
Hotel Subh Inn,"₹ 2,899",,,
"Hotel Bricks, Karol Bagh, New Delhi","₹ 2,859",Scored 8.3,,
ibis New Delhi Aerocity - An Accor Brand,"₹ 6,400",Scored 7.0,,
Crowne Plaza New Delhi Mayur Vihar Noida by IHG,"₹ 6,640",Scored 8.4,,
Hotel Rosewood Near Delhi Airport,"₹ 1,214",Scored 7.0,,
The Leela Ambience Convention Hotel Delhi,"₹ 10,260",Scored 8.6,,
Holiday Inn New Delhi Aerocity by IHG,"₹ 8,627",Scored 9.3,,
BLESS INN - Near Connaught Place,"₹ 2,181",Scored 8.3,,
